conclusion,createdAt,databaseId,event,headBranch,headSha,name,startedAt,status,updatedAt,url,workflowName
success,2026-09-06T16:45:52Z,34046485833,pull_request,codex/issue-319-google-metric-configuration,ecd331d10cae0c35635f137f41c72c827ed607c5,CI,2026-09-06T16:45:52Z,completed,2026-09-06T17:36:21Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34046485833,CI
failure,2026-09-06T16:45:52Z,34046485826,pull_request,codex/issue-319-google-metric-configuration,ecd331d10cae0c35635f137f41c72c827ed607c5,Swift security,2026-09-06T16:45:52Z,completed,2026-09-06T17:15:09Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34046485826,Swift security
failure,2026-09-06T16:45:52Z,34046485812,pull_request,codex/issue-319-google-metric-configuration,ecd331d10cae0c35635f137f41c72c827ed607c5,Usage history performance,2026-09-06T16:56:31Z,completed,2026-09-06T17:01:48Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34046485812,Usage history performance
cancelled,2026-09-06T16:23:39Z,34045292443,pull_request,codex/issue-319-google-metric-configuration,b2c396949cb8db705c3923375af7a0846494f895,CI,2026-09-06T16:23:39Z,completed,2026-09-06T16:46:39Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34045292443,CI
cancelled,2026-09-06T16:23:39Z,34045292347,pull_request,codex/issue-319-google-metric-configuration,b2c396949cb8db705c3923375af7a0846494f895,Swift security,2026-09-06T16:23:39Z,completed,2026-09-06T16:46:35Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34045292347,Swift security
success,2026-09-06T16:23:39Z,34045292346,pull_request,codex/issue-319-google-metric-configuration,b2c396949cb8db705c3923375af7a0846494f895,Usage history performance,2026-09-06T16:23:39Z,completed,2026-09-06T16:28:28Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34045292346,Usage history performance
success,2026-09-06T12:22:33Z,34032909760,push,main,abd7ee47ad9b5a7ca8a9a6e39a018f9f97bf69de,Swift security,2026-09-06T12:22:33Z,completed,2026-09-06T12:50:17Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34032909760,Swift security
failure,2026-09-06T12:22:33Z,34032909669,push,main,abd7ee47ad9b5a7ca8a9a6e39a018f9f97bf69de,CI,2026-09-06T12:22:33Z,completed,2026-09-06T13:02:21Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34032909669,CI
success,2026-09-06T11:37:11Z,34030768401,pull_request,fix/issue-311-perfection-lint-concurrency,f4490645d5c07ec07c51cf53a7bff43413874c47,CI,2026-09-06T11:37:11Z,completed,2026-09-06T12:12:09Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030768401,CI
success,2026-09-06T11:37:11Z,34030768399,pull_request,fix/issue-311-perfection-lint-concurrency,f4490645d5c07ec07c51cf53a7bff43413874c47,Swift security,2026-09-06T11:37:11Z,completed,2026-09-06T12:11:11Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030768399,Swift security
cancelled,2026-09-06T11:35:02Z,34030663451,pull_request,fix/issue-311-perfection-lint-concurrency,7253ed737283eefff656faae235f2a7ba1e95e5d,Swift security,2026-09-06T11:35:02Z,completed,2026-09-06T11:37:44Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030663451,Swift security
cancelled,2026-09-06T11:35:02Z,34030663445,pull_request,fix/issue-311-perfection-lint-concurrency,7253ed737283eefff656faae235f2a7ba1e95e5d,CI,2026-09-06T11:35:02Z,completed,2026-09-06T11:37:12Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030663445,CI
cancelled,2026-09-06T11:34:09Z,34030621865,pull_request,fix/issue-311-perfection-lint-concurrency,838c4394fc9f59184bab4b1140e19d3e2bd8f7c0,CI,2026-09-06T11:34:09Z,completed,2026-09-06T11:35:03Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030621865,CI
cancelled,2026-09-06T11:34:09Z,34030621864,pull_request,fix/issue-311-perfection-lint-concurrency,838c4394fc9f59184bab4b1140e19d3e2bd8f7c0,Swift security,2026-09-06T11:34:09Z,completed,2026-09-06T11:35:08Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030621864,Swift security
cancelled,2026-09-06T11:27:21Z,34030300278,pull_request,fix/issue-311-perfection-lint-concurrency,e01f027beb96ec24a9a4003c9c253a7d6b13c9b0,CI,2026-09-06T11:27:21Z,completed,2026-09-06T11:38:13Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030300278,CI
cancelled,2026-09-06T11:27:21Z,34030300277,pull_request,fix/issue-311-perfection-lint-concurrency,e01f027beb96ec24a9a4003c9c253a7d6b13c9b0,Swift security,2026-09-06T11:27:21Z,completed,2026-09-06T11:34:33Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030300277,Swift security
cancelled,2026-09-06T11:25:36Z,34030219526,pull_request,fix/issue-311-perfection-lint-concurrency,a716500cd5729f13f03c0740054c591b7b722357,CI,2026-09-06T11:25:36Z,completed,2026-09-06T11:27:40Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030219526,CI
cancelled,2026-09-06T11:25:36Z,34030219374,pull_request,fix/issue-311-perfection-lint-concurrency,a716500cd5729f13f03c0740054c591b7b722357,Swift security,2026-09-06T11:25:36Z,completed,2026-09-06T11:28:27Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030219374,Swift security
cancelled,2026-09-06T11:22:34Z,34030066892,pull_request,fix/issue-311-perfection-lint-concurrency,9f3f69c27280740114d2939749d92ac9a1eec22d,CI,2026-09-06T11:22:34Z,completed,2026-09-06T11:27:13Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030066892,CI
cancelled,2026-09-06T11:22:34Z,34030066886,pull_request,fix/issue-311-perfection-lint-concurrency,9f3f69c27280740114d2939749d92ac9a1eec22d,Swift security,2026-09-06T11:22:34Z,completed,2026-09-06T11:26:08Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34030066886,Swift security
success,2026-09-06T09:24:34Z,34024565648,push,main,736ef2a4d423fd6bb29c348d8f7e03b9da0dc58f,Swift security,2026-09-06T09:24:34Z,completed,2026-09-06T09:56:31Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34024565648,Swift security
success,2026-09-06T09:24:34Z,34024565631,push,main,736ef2a4d423fd6bb29c348d8f7e03b9da0dc58f,CI,2026-09-06T09:24:34Z,completed,2026-09-06T09:54:41Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34024565631,CI
success,2026-09-06T08:26:19Z,34021848562,pull_request,fix/issue-309-main-security-baseline,a42d97893f11d264a2bcc3a8d3093c1ec8266614,Swift security,2026-09-06T08:26:19Z,completed,2026-09-06T08:57:32Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34021848562,Swift security
success,2026-09-06T08:26:19Z,34021848559,pull_request,fix/issue-309-main-security-baseline,a42d97893f11d264a2bcc3a8d3093c1ec8266614,CI,2026-09-06T08:26:19Z,completed,2026-09-06T08:58:33Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34021848559,CI
success,2026-09-06T07:23:38Z,34019023115,push,main,cbc0d0031a0e07d4f3ed3f6e588bf578928690cc,CI,2026-09-06T07:23:38Z,completed,2026-09-06T08:02:19Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34019023115,CI
failure,2026-09-06T07:23:38Z,34019023090,push,main,cbc0d0031a0e07d4f3ed3f6e588bf578928690cc,Swift security,2026-09-06T07:23:38Z,completed,2026-09-06T07:56:11Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34019023090,Swift security
success,2026-09-06T04:56:13Z,34012734937,pull_request,chore/issue-310-usage-history-performance-budget,58a4029a834b131ab24efbff044971d506b348d2,Swift security,2026-09-06T04:56:13Z,completed,2026-09-06T05:27:35Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34012734937,Swift security
success,2026-09-06T04:56:13Z,34012734921,pull_request,chore/issue-310-usage-history-performance-budget,58a4029a834b131ab24efbff044971d506b348d2,CI,2026-09-06T06:21:38Z,completed,2026-09-06T07:00:47Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34012734921,CI
success,2026-09-06T04:56:13Z,34012734867,pull_request,chore/issue-310-usage-history-performance-budget,58a4029a834b131ab24efbff044971d506b348d2,Usage history performance,2026-09-06T05:05:37Z,completed,2026-09-06T05:11:11Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34012734867,Usage history performance
success,2026-09-06T04:35:04Z,34011866772,pull_request,chore/issue-310-usage-history-performance-budget,ea8eb7baec0e459f0403eb0d07b0fc01e4f21602,Usage history performance,2026-09-06T04:35:04Z,completed,2026-09-06T04:40:02Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34011866772,Usage history performance
cancelled,2026-09-06T04:35:04Z,34011866746,pull_request,chore/issue-310-usage-history-performance-budget,ea8eb7baec0e459f0403eb0d07b0fc01e4f21602,CI,2026-09-06T04:35:04Z,completed,2026-09-06T04:56:53Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34011866746,CI
cancelled,2026-09-06T04:35:04Z,34011866709,pull_request,chore/issue-310-usage-history-performance-budget,ea8eb7baec0e459f0403eb0d07b0fc01e4f21602,Swift security,2026-09-06T04:35:04Z,completed,2026-09-06T04:56:46Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34011866709,Swift security
failure,2026-09-06T03:56:42Z,34010249721,pull_request,codex/issue-319-google-metric-configuration,1943071a5c9bb67934f9e1a51b4e4013d95b80b3,CI,2026-09-06T03:56:42Z,completed,2026-09-06T04:43:15Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34010249721,CI
success,2026-09-06T03:56:42Z,34010249689,pull_request,codex/issue-319-google-metric-configuration,1943071a5c9bb67934f9e1a51b4e4013d95b80b3,Swift security,2026-09-06T03:56:42Z,completed,2026-09-06T04:36:44Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34010249689,Swift security
success,2026-09-06T03:27:21Z,34009033577,pull_request,codex/issue-319-google-metric-configuration,bc8f53899ff71b6014ee3144b2bbb3472b001635,Swift security,2026-09-06T03:27:21Z,completed,2026-09-06T03:55:45Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34009033577,Swift security
cancelled,2026-09-06T03:27:21Z,34009033574,pull_request,codex/issue-319-google-metric-configuration,bc8f53899ff71b6014ee3144b2bbb3472b001635,CI,2026-09-06T03:27:21Z,completed,2026-09-06T03:57:46Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34009033574,CI
failure,2026-09-06T03:22:28Z,34008831770,push,main,3395ee6094ce8e4199577f7ede493e3a50ee1269,Swift security,2026-09-06T03:22:28Z,completed,2026-09-06T03:50:51Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34008831770,Swift security
failure,2026-09-06T03:22:28Z,34008831765,push,main,3395ee6094ce8e4199577f7ede493e3a50ee1269,CI,2026-09-06T03:22:28Z,completed,2026-09-06T03:52:34Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34008831765,CI
cancelled,2026-09-06T03:13:44Z,34008463999,pull_request,codex/issue-319-google-metric-configuration,d198bfe6378b84f32c90c1e13c4dcc34ad33db0f,CI,2026-09-06T03:13:44Z,completed,2026-09-06T03:29:21Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34008463999,CI
cancelled,2026-09-06T03:02:59Z,34008007776,pull_request,codex/issue-319-google-metric-configuration,a8de42683d8e5e0451bc3ff838be706f395b34c6,CI,2026-09-06T03:02:59Z,completed,2026-09-06T03:15:09Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34008007776,CI
success,2026-09-06T02:21:25Z,34006270292,pull_request,chore/issue-309-swift-security-analysis,03bb22cde141ecab567092d8dc7cc16bb69ccb49,Swift security,2026-09-06T02:21:25Z,completed,2026-09-06T02:51:47Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34006270292,Swift security
success,2026-09-06T02:21:25Z,34006270272,pull_request,chore/issue-309-swift-security-analysis,03bb22cde141ecab567092d8dc7cc16bb69ccb49,CI,2026-09-06T02:21:25Z,completed,2026-09-06T02:58:56Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34006270272,CI
failure,2026-09-06T02:05:34Z,34005571377,push,main,896ef3485a81d392e38b3be45427c66c2ed5fcfb,CI,2026-09-06T02:05:34Z,completed,2026-09-06T02:41:26Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34005571377,CI
failure,2026-09-06T01:23:05Z,34003751678,pull_request,chore/issue-309-swift-security-analysis,1f5bd758a8e16d46cb9d97cdee0883a4a388e898,Swift security,2026-09-06T01:23:05Z,completed,2026-09-06T01:57:04Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34003751678,Swift security
success,2026-09-06T01:23:05Z,34003751583,pull_request,chore/issue-309-swift-security-analysis,1f5bd758a8e16d46cb9d97cdee0883a4a388e898,CI,2026-09-06T01:23:05Z,completed,2026-09-06T02:03:21Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34003751583,CI
success,2026-09-06T00:15:40Z,34000819469,pull_request,chore/issue-309-swift-security-analysis,e0193cd96f368b6c2ceb01b1d649288e34e874c5,CI,2026-09-06T00:15:40Z,completed,2026-09-06T00:52:10Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34000819469,CI
failure,2026-09-06T00:15:40Z,34000819436,pull_request,chore/issue-309-swift-security-analysis,e0193cd96f368b6c2ceb01b1d649288e34e874c5,Swift security,2026-09-06T00:15:40Z,completed,2026-09-06T00:48:33Z,https://github.com/HemSoft/codexbar-ios/actions/runs/34000819436,Swift security
failure,2026-09-05T23:28:03Z,33998745093,pull_request,chore/issue-309-swift-security-analysis,5c6c3ee5a82a2bd20cf729cbaa54778c43790528,Swift security,2026-09-05T23:28:03Z,completed,2026-09-06T00:09:09Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33998745093,Swift security
failure,2026-09-05T23:28:03Z,33998745090,pull_request,chore/issue-309-swift-security-analysis,5c6c3ee5a82a2bd20cf729cbaa54778c43790528,CI,2026-09-05T23:28:03Z,completed,2026-09-06T00:04:29Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33998745090,CI
success,2026-09-05T23:13:28Z,33998085396,pull_request,feature/issue-314-antigravity-quota-groups,82611607888c9f2c2928d7b96a9021f9df4770c7,CI,2026-09-06T00:53:07Z,completed,2026-09-06T01:21:25Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33998085396,CI
cancelled,2026-09-05T23:11:22Z,33997988239,pull_request,feature/issue-314-antigravity-quota-groups,154b7c4194c893223b04b844a8fdafd0b1c96c19,CI,2026-09-05T23:11:22Z,completed,2026-09-05T23:13:49Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33997988239,CI
cancelled,2026-09-05T23:10:45Z,33997959941,pull_request,feature/issue-314-antigravity-quota-groups,38e94c4ba1fe5cb6358adb2a4ce01fcf36de5002,CI,2026-09-05T23:10:45Z,completed,2026-09-05T23:11:23Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33997959941,CI
cancelled,2026-09-05T23:03:50Z,33997638560,pull_request,feature/issue-314-antigravity-quota-groups,a264a25ddb50c508049dc8c6d5fbee2d249844ec,CI,2026-09-05T23:03:50Z,completed,2026-09-05T23:12:28Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33997638560,CI
success,2026-09-05T22:24:13Z,33995809326,push,main,99cc12a23399f3bfbf6659922267cfb3df42d78a,CI,2026-09-05T22:24:13Z,completed,2026-09-05T22:58:46Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33995809326,CI
success,2026-09-05T21:28:05Z,33993131428,pull_request,feature/issue-307-isolated-ui-tests,1dbe65fe58d64fa0469f8bed26ea5dede6416cb9,CI,2026-09-05T21:28:05Z,completed,2026-09-05T22:02:49Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33993131428,CI
failure,2026-09-05T20:10:24Z,33989302706,pull_request,feature/issue-307-isolated-ui-tests,a00a7a207c03f8e5b83c7be59de1e6dcdbfbf7e4,CI,2026-09-05T20:10:24Z,completed,2026-09-05T20:52:10Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33989302706,CI
cancelled,2026-09-05T19:56:03Z,33988588182,pull_request,feature/issue-307-isolated-ui-tests,8085d56a61b63a72c6d60ab93f0f8c92b2390ceb,CI,2026-09-05T19:56:03Z,completed,2026-09-05T20:11:24Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33988588182,CI
cancelled,2026-09-05T19:48:37Z,33988225837,pull_request,feature/issue-307-isolated-ui-tests,60d83c235d1e5ec40829e60da5944d414bdcbe3b,CI,2026-09-05T19:48:37Z,completed,2026-09-05T20:01:05Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33988225837,CI
cancelled,2026-09-05T19:46:56Z,33988143377,pull_request,feature/issue-307-isolated-ui-tests,07d103e1ebda60508db37c4aaf25a8e19ea059c1,CI,2026-09-05T19:46:56Z,completed,2026-09-05T19:48:38Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33988143377,CI
cancelled,2026-09-05T19:37:12Z,33987655569,pull_request,feature/issue-307-isolated-ui-tests,4ff947f49ee41fa67ec9befae12d5bdc8d890c1c,CI,2026-09-05T19:37:12Z,completed,2026-09-05T19:50:19Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33987655569,CI
cancelled,2026-09-05T19:34:42Z,33987529937,pull_request,feature/issue-307-isolated-ui-tests,7362bc612d3183bc421b5375d7398d386f71d885,CI,2026-09-05T19:34:42Z,completed,2026-09-05T19:37:44Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33987529937,CI
success,2026-09-05T19:06:48Z,33986115894,push,main,12eeca6ddd0d79f7887bf9c8ecfcc55264d3290f,CI,2026-09-05T19:06:48Z,completed,2026-09-05T19:19:35Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33986115894,CI
success,2026-09-05T18:46:51Z,33985119190,pull_request,feature/issue-306-function-risk,a136175b80403662bba8aa3b63dcdf15218a673a,CI,2026-09-05T18:46:51Z,completed,2026-09-05T19:05:51Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33985119190,CI
cancelled,2026-09-05T18:33:28Z,33984435644,pull_request,feature/issue-306-function-risk,081cccbd933f4aa7ad671047042902075a254834,CI,2026-09-05T18:33:28Z,completed,2026-09-05T18:48:58Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33984435644,CI
success,2026-09-05T18:16:48Z,33983559634,push,main,78b6a213c53ae4a90e61cd4802d31aafbeb91e35,CI,2026-09-05T18:16:48Z,completed,2026-09-05T18:30:52Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33983559634,CI
success,2026-09-05T17:59:30Z,33982646075,pull_request,fix/issue-304-stalled-cursor-test,18e5c78118b2e8e24b92237027825ee4c89fd2a6,CI,2026-09-05T17:59:30Z,completed,2026-09-05T18:14:47Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33982646075,CI
cancelled,2026-09-05T17:48:25Z,33982099208,pull_request,fix/issue-304-stalled-cursor-test,2f8e264ba3356da3f24b64bf4a44a47f7cb0a0c4,CI,2026-09-05T17:48:25Z,completed,2026-09-05T18:02:49Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33982099208,CI
success,2026-09-05T17:26:23Z,33980963006,pull_request,fix/issue-304-stalled-cursor-test,7bc433460baf446c5fbbaba5bcc61d63b334146c,CI,2026-09-05T17:26:23Z,completed,2026-09-05T17:38:37Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33980963006,CI
success,2026-09-05T17:00:14Z,33979583183,push,main,a7804e371e34bfcbc5402a97f9352df4a1215324,CI,2026-09-05T17:00:14Z,completed,2026-09-05T17:15:02Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33979583183,CI
success,2026-09-05T16:45:41Z,33978855968,pull_request,fix/issue-303-gemini-session-lifetime,2b11afa07bff43be98e56014988d5fc8c73220e0,CI,2026-09-05T16:45:41Z,completed,2026-09-05T16:59:35Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33978855968,CI
success,2026-09-05T16:33:53Z,33978258563,pull_request,fix/issue-303-gemini-session-lifetime,10e5daf83f558f9361d36f04495212b508e9d7ad,CI,2026-09-05T16:33:53Z,completed,2026-09-05T16:44:31Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33978258563,CI
failure,2026-09-05T09:21:30Z,33957762004,push,main,415f07a5d467123dc839cf14f756656328f4fc59,CI,2026-09-05T09:21:30Z,completed,2026-09-05T09:37:46Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33957762004,CI
success,2026-09-05T08:29:10Z,33955385496,pull_request,fix/issue-301-gemini-rpc-reauthentication,c07e665f86e899279814d251774533a111e8af48,CI,2026-09-05T08:29:10Z,completed,2026-09-05T08:48:36Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33955385496,CI
cancelled,2026-09-05T08:24:53Z,33955189084,pull_request,fix/issue-301-gemini-rpc-reauthentication,af89f4ea4a2bbbdb8bd63fa3e6ada1a049f65daa,CI,2026-09-05T08:24:53Z,completed,2026-09-05T08:31:42Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33955189084,CI
success,2026-09-05T06:38:19Z,33950363221,push,main,8459860084bd9c641a817afb47f0481e9482809c,CI,2026-09-05T06:38:19Z,completed,2026-09-05T06:57:17Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33950363221,CI
success,2026-09-05T04:05:10Z,33943603668,pull_request,feature/issue-299-google-browser-sign-in,aa351381acef234333fb504e7cb4a6d422abbb1c,CI,2026-09-05T04:05:10Z,completed,2026-09-05T04:23:47Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33943603668,CI
success,2026-09-05T03:42:24Z,33942594790,pull_request,feature/issue-299-google-browser-sign-in,da69aa6bff9137e6e9b979fbcc809ba5de92ff62,CI,2026-09-05T03:42:24Z,completed,2026-09-05T03:59:25Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33942594790,CI
cancelled,2026-09-05T03:33:49Z,33942200059,pull_request,feature/issue-299-google-browser-sign-in,e2e144994e837f70d0dcc1dc601f1dba6ed499e2,CI,2026-09-05T03:33:49Z,completed,2026-09-05T03:47:14Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33942200059,CI
failure,2026-09-04T20:42:15Z,33917540577,push,main,04f8c62d447ee126d6e71066805d9e0cf76803e2,CI,2026-09-04T20:42:15Z,completed,2026-09-04T21:00:00Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33917540577,CI
success,2026-09-04T02:38:40Z,33830286155,pull_request,feature/issue-296-google-gemini-session,ae998654df3b6c9f2cd4d62e2537046291b20e3d,CI,2026-09-04T17:52:08Z,completed,2026-09-04T18:03:56Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33830286155,CI
cancelled,2026-09-04T02:36:49Z,33830174054,pull_request,feature/issue-296-google-gemini-session,c578fe15d311312dec7840be9cc31a7fee0f1cbc,CI,2026-09-04T02:36:49Z,completed,2026-09-04T02:40:00Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33830174054,CI
cancelled,2026-09-04T02:28:03Z,33829623879,pull_request,feature/issue-296-google-gemini-session,429260e581c497c3b318420c0ec7776be3d5769c,CI,2026-09-04T02:28:03Z,completed,2026-09-04T02:37:53Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33829623879,CI
cancelled,2026-09-04T02:15:23Z,33828838535,pull_request,feature/issue-296-google-gemini-session,8b85096c1c95fb503ec438a32562b2df02beaa7c,CI,2026-09-04T02:15:23Z,completed,2026-09-04T02:28:51Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33828838535,CI
success,2026-09-01T09:37:24Z,33493185706,push,main,736126342928e8c9c1adfead825f8c72a8c8ead2,CI,2026-09-01T09:37:24Z,completed,2026-09-01T09:47:34Z,https://github.com/HemSoft/codexbar-ios/actions/runs/33493185706,CI
